"Player","Team","Bye","POS","Underdog","ADP"
"Kyle Williams","NE","14","WR60","134","134"
"Ray Davis","BUF","7","RB43","135","135"
"Marquise Brown","KC","10","WR61","136","136"
"Dalton Kincaid","BUF","7","TE13","137","137"
"Dallas Goedert","PHI","9","TE14","138","138"
"Trey Benson","ARI","8","RB44","139","139"
"Rachaad White","TB","9","RB45","140","140"
"Isaiah Likely","BAL","7","TE15","141","141"
"Michael Penix Jr.","ATL","5","QB21","142","142"
"Isaac Guerendo","SF","14","RB46","143","143"
"Jake Ferguson","DAL","10","TE16","144","144"
"Cedric Tillman","CLE","9","WR62","145","145"
"Quentin Johnston","LAC","12","WR63","146","146"
"Jaydon Blue","DAL","10","RB47","147","147"
"Xavier Legette","CAR","14","WR64","148","148"
"Tua Tagovailoa","MIA","12","QB22","149","149"
"Tyler Allgeier","ATL","5","RB48","150","150"
"Austin Ekeler","WAS","12","RB49","151","151"
"Bryce Young","CAR","14","QB23","152","152"
"Matthew Stafford","LAR","8","QB24","153","153"
"Romeo Doubs","GB","5","WR65","154","154"
"Jack Bech","LV","8","WR66","155","155"
"Kyle Pitts","ATL","5","TE17","156","156"
"Joshua Palmer","BUF","7","WR67","157","157"
"Brenton Strange","JAC","8","TE18","158","158"
"Cameron Ward","TEN","10","QB25","159","159"
"Tank Bigsby","JAC","8","RB50","160","160"
"Jaylen Wright","MIA","12","RB51","161","161"
"Jonnu Smith","PIT","5","TE19","162","162"
"Geno Smith","LV","8","QB26","163","163"
"Pat Bryant","DEN","12","WR68","164","164"
"Hunter Henry","NE","14","TE20","165","165"
"Adam Thielen","CAR","14","WR69","166","166"
"Jalen McMillan","TB","9","WR70","167","167"
"DeMario Douglas","NE","14","WR71","168","168"
"Roschon Johnson","CHI","5","RB52","169","169"
"Mike Gesicki","CIN","10","TE21","170","170"
"Braelon Allen","NYJ","9","RB53","171","171"
"Wan'Dale Robinson","NYG","14","WR72","172","172"
"Zach Ertz","WAS","12","TE22","173","173"
"Dylan Sampson","CLE","9","RB54","174","174"
"Rico Dowdle","CAR","14","RB55","175","175"
"Sam Darnold","SEA","8","QB27","176","176"
"Will Shipley","PHI","9","RB56","177","177"
"Alec Pierce","IND","11","WR73","178","178"
"Michael Wilson","ARI","8","WR74","179","179"
"Cade Otton","TB","9","TE23","180","180"
"Jaylin Noel","HOU","6","WR75","181","181"
"Aaron Rodgers","PIT","5","QB28","182","182"
"Dyami Brown","JAC","8","WR76","183","183"
"Nick Chubb","HOU","6","RB57","184","184"
"Miles Sanders","DAL","10","RB58","185","185"
